Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,1.845237,1.814885,1.878647
Transpose,32,0.201209,0.193072,0.271116
Transpose,64,0.188572,0.179108,0.271211
Transpose,128,0.188433,0.178931,0.271228
Transpose,256,0.188604,0.179037,0.270938
Transpose,512,0.188397,0.179017,0.270881
Transpose,1024,0.188649,0.179226,0.271210
