Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,1.843261,1.816633,1.877267
Shmem,32,0.198385,0.190086,0.271283
Shmem,64,0.168230,0.156233,0.271199
Shmem,128,0.155370,0.141705,0.271415
Shmem,256,0.155678,0.141838,0.271342
Shmem,512,0.155680,0.141936,0.270676
Shmem,1024,0.156630,0.143378,0.271115
